Question Asked,Answer Given,Top Match,Answer Taught,Category,Question Type,Date Received, Date Responded,Response Time,Processed By
Hello Ive heard about a license that one can obtain from URA in order to rent out properties on a shortterm basis less than 3 months How can one obtain such license,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/17/2019 20:12,11/25/2019 15:40,39,Benjamin Chow
so no way to do it legally,General info on renting private residential property,,General info on renting private residential property,,No Feedback,10/17/2019 20:14,11/25/2019 15:40,39,Benjamin Chow
what license do I need for renting out,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/17/2019 20:15,11/25/2019 15:40,39,Benjamin Chow
Can i sublet on a private proprty,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/17/2019 23:47,11/25/2019 15:40,39,Benjamin Chow
how do i remove tenant name who register their address when they stay in our hse but now move,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/19/2019 9:20,11/25/2019 15:40,37,Benjamin Chow
if i want to do a partition bedroom in the condo what should i do,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/31/2019 17:23,11/25/2019 15:40,25,Benjamin Chow
partition bedroom,General info on renting private residential property,,General info on renting private residential property,,No Feedback,10/31/2019 17:24,11/25/2019 15:40,25,Benjamin Chow
how do i do a partition bedroom in condo,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/31/2019 17:25,11/25/2019 15:40,25,Benjamin Chow
create a partition wall in condo,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/31/2019 17:25,11/25/2019 15:40,25,Benjamin Chow
partition wall in a condo,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/31/2019 17:26,11/25/2019 15:40,25,Benjamin Chow
transform a big living hall to a partition bed room,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/31/2019 17:28,11/25/2019 15:40,25,Benjamin Chow
Can I create internal partitions in a residential property,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/31/2019 17:29,11/25/2019 15:40,25,Benjamin Chow
How can I check if the property I am renting is legitimately allowed,General info on change of use,Top Match,General info on renting private residential property,,No Feedback,11/3/2019 11:17,11/25/2019 15:39,22,Benjamin Chow
renting private residential property cannot register on MOM,,,General info on renting private residential property,,No Feedback,11/18/2019 17:54,11/25/2019 15:39,7,Benjamin Chow
what would happen to house owner if fail to register tenants,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/7/2019 14:32,11/25/2019 15:39,18,Benjamin Chow
What is the minimum term of tenancy for me to rent,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/20/2019 11:03,11/25/2019 15:39,5,Benjamin Chow
where do rental agreements get registered,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/20/2019 11:07,11/25/2019 15:39,5,Benjamin Chow
It is relating to lease of a private property,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/20/2019 12:38,11/25/2019 15:39,5,Benjamin Chow
is shophouse allowed for renting out as resident use,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/20/2019 13:47,11/25/2019 15:39,5,Benjamin Chow
rent private property,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/20/2019 14:11,11/25/2019 15:39,5,Benjamin Chow
Air bnb stay is it legal in singapore,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/21/2019 16:17,11/25/2019 15:39,4,Benjamin Chow
how many tenant i can havw,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/22/2019 13:03,11/25/2019 15:39,3,Benjamin Chow
Breaking the 6 person cap for private property rental,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/23/2019 8:55,11/25/2019 15:39,2,Benjamin Chow
Would like to check whether tourist that is staying in Singapore for 3 months can they rent a private apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/24/2019 11:17,11/25/2019 15:39,1,Benjamin Chow
Can I rent out a landed house to 3 or 4 families,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/24/2019 15:19,11/25/2019 15:39,1,Benjamin Chow
Hello Mam May I ask a question on occupants in private condo,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/24/2019 15:54,11/25/2019 15:39,1,Benjamin Chow
how about for private condominium,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/24/2019 16:03,11/25/2019 15:38,1,Benjamin Chow
How many people are you expecting to join this countdown event,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/25/2019 13:10,11/25/2019 15:38,<1,Benjamin Chow
How many people,General info on renting private residential property,,General info on renting private residential property,,No Feedback,11/25/2019 13:10,11/25/2019 15:38,<1,Benjamin Chow
can you explain clearly on the Occupancy Cap in a private property or a hdb If i am the owner and holding a party or gathering I have friends over and will like them o,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/25/2019 13:42,11/25/2019 15:38,<1,Benjamin Chow
Iam not talking about SHORT TERM,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/25/2019 13:42,11/25/2019 15:38,<1,Benjamin Chow
occupancy cap,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/25/2019 14:40,11/25/2019 15:38,<1,Benjamin Chow
what to with if my condo do airbnb,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/15/2019 10:38,11/25/2019 15:38,41,Benjamin Chow
hi can we rent through airbnb for 5 days for a group of 10 people or are rentals on airbnb exempted from the occupancy cap,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/2/2019 7:30,11/25/2019 15:38,23,Benjamin Chow
how do i report of a suspected airbnb or illegal rental,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/22/2019 20:02,11/25/2019 15:38,3,Benjamin Chow
i want to make a complaint about someone renting out their property for airbnb,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/25/2019 11:47,11/25/2019 15:38,<1,Benjamin Chow
where do i make a complaint on illegal airbnb renting,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,11/25/2019 11:49,11/25/2019 15:38,<1,Benjamin Chow
list of officers email address,General Information about URA,Top Match,General Information about URA,,No Feedback,10/11/2019 17:50,11/25/2019 15:30,45,Benjamin Chow
email address to sent enquiry,General Information about URA,Top Match,General Information about URA,,No Feedback,10/14/2019 11:20,11/25/2019 15:30,42,Benjamin Chow
would like send email to URA reagrding car parking,General Information about URA,Top Match,General Information about URA,,No Feedback,10/15/2019 15:22,11/25/2019 15:30,41,Benjamin Chow
Hi this is Clara from Straits Times possible if I could get a contactemail to write in for media queries,General Information about URA,Top Match,General Information about URA,,No Feedback,10/16/2019 12:34,11/25/2019 15:30,40,Benjamin Chow
Any email,General Information about URA,,General Information about URA,,No Feedback,10/24/2019 17:48,11/25/2019 15:30,32,Benjamin Chow
email,General Information about URA,Top Match,General Information about URA,,No Feedback,10/26/2019 9:11,11/25/2019 15:30,30,Benjamin Chow
contact email,General Information about URA,Top Match,General Information about URA,,No Feedback,10/29/2019 16:34,11/25/2019 15:29,27,Benjamin Chow
email for Singapore city gallery tour,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,10/29/2019 19:47,11/25/2019 15:29,27,Benjamin Chow
customer service email,General Information about URA,Top Match,General Information about URA,,No Feedback,10/30/2019 16:42,11/25/2019 15:29,26,Benjamin Chow
I HAVE EMAIL FROM URA BUT STILL NOT ACTIVATED,General Information about URA,Top Match,General Information about URA,,No Feedback,10/30/2019 16:49,11/25/2019 15:29,26,Benjamin Chow
Conservation email,General Information about URA,,General Information about URA,,No Feedback,10/30/2019 18:05,11/25/2019 15:29,26,Benjamin Chow
EMAIL ADDRESS,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 15:56,11/25/2019 15:29,25,Benjamin Chow
email address pls,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 17:18,11/25/2019 15:29,25,Benjamin Chow
email address plsa,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 17:18,11/25/2019 15:29,25,Benjamin Chow
email address,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 17:18,11/25/2019 15:29,25,Benjamin Chow
Hi I want to send a email regarding URA planning submission requirement what is the email address,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 18:00,11/25/2019 15:29,25,Benjamin Chow
email ura,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 12:05,11/25/2019 15:29,21,Benjamin Chow
as spoken to ura officer to write in email,Who can I speak to at URA?,Top Match,General Information about URA,,No Feedback,11/7/2019 16:20,11/25/2019 15:29,18,Benjamin Chow
May I have URA email address,Catch all,Top Match,General Information about URA,,No Feedback,11/11/2019 18:11,11/25/2019 15:29,14,Benjamin Chow
URA email pls,(APP) How do I submit an appeal for my parking offence or check its appeal status?,,General Information about URA,,No Feedback,11/17/2019 20:29,11/25/2019 15:29,8,Benjamin Chow
email,General Information about URA,Top Match,General Information about URA,,No Feedback,11/8/2019 16:33,11/25/2019 15:28,17,Benjamin Chow
URA email,General Information about URA,Top Match,General Information about URA,,No Feedback,11/9/2019 13:33,11/25/2019 15:28,16,Benjamin Chow
how do i contact email,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 10:45,11/25/2019 15:28,14,Benjamin Chow
